feature,standardized_coefficient,absolute_coefficient,missing_fraction
delta_magnetogram_zernike_4_4,-0.013309590875507933,0.013309590875507933,0.03437432227282585
t1_magnetogram_q10,0.012940891700152205,0.012940891700152205,0.03057905009759271
delta_131_mean,-0.01272063166271577,0.01272063166271577,0.03643461288223813
t0_magnetogram_bright_fraction,-0.01271991502382265,0.01271991502382265,0.014855779657341141
t0_continuum_bright_fraction,-0.01192744484070079,0.01192744484070079,0.014855779657341141
t0_magnetogram_missing,0.011745288908887045,0.011745288908887045,0.0
t0_continuum_missing,0.01174528890888388,0.01174528890888388,0.0
delta_magnetogram_bright_fraction,-0.011669709775026063,0.011669709775026063,0.03437432227282585
t3_131_mean,-0.01085851096154379,0.01085851096154379,0.021904142268488396
t1_magnetogram_unsigned_field,-0.010688185527248702,0.010688185527248702,0.03057905009759271
t1_131_bright_fraction,-0.010423956410743958,0.010423956410743958,0.0329646497505964
delta_magnetogram_median,-0.010190513673027323,0.010190513673027323,0.03437432227282585
t2_magnetogram_q90,0.008056316670670917,0.008056316670670917,0.01594014313597918
t1_131_median,-0.007340908723912905,0.007340908723912905,0.0329646497505964
t3_magnetogram_dark_fraction,-0.00732340800712785,0.00732340800712785,0.019952288006939926
t3_continuum_entropy,-0.007317517948664438,0.007317517948664438,0.019952288006939926
delta_193_entropy,0.005928588508280473,0.005928588508280473,0.036651485577965735
t2_131_median,0.005125363218469208,0.005125363218469208,0.02006072435480373
t1_131_gradient,0.004595135050441927,0.004595135050441927,0.0329646497505964
t0_magnetogram_zernike_6_4,-0.004524825500266784,0.004524825500266784,0.014855779657341141
t1_magnetogram_zernike_4_4,0.0045034760921326775,0.0045034760921326775,0.03057905009759271
delta_magnetogram_zernike_2_2,0.004442939166823359,0.004442939166823359,0.03437432227282585
delta_magnetogram_zernike_4_2,0.004320994777307357,0.004320994777307357,0.03437432227282585
t3_magnetogram_entropy,-0.003546115976266206,0.003546115976266206,0.019952288006939926
t1_magnetogram_zernike_4_2,0.003486508077296606,0.003486508077296606,0.03057905009759271
delta_continuum_gradient,0.0034650272813886674,0.0034650272813886674,0.03437432227282585
t2_magnetogram_missing,-0.003335595076903566,0.003335595076903566,0.0
t2_continuum_missing,-0.0033355950769035224,0.0033355950769035224,0.0
t0_magnetogram_zernike_6_0,-0.003136139633711488,0.003136139633711488,0.014855779657341141
t3_magnetogram_q10,0.003069137325241784,0.003069137325241784,0.019952288006939926
t0_131_missing,-0.003038719531171252,0.003038719531171252,0.0
t0_193_missing,-0.0030387195311712425,0.0030387195311712425,0.0
t1_continuum_missing,0.0029924130946968517,0.0029924130946968517,0.0
t1_magnetogram_missing,0.002992413094606945,0.002992413094606945,0.0
t2_193_missing,-0.002747591345862255,0.002747591345862255,0.0
t2_131_missing,-0.0027475913458169673,0.0027475913458169673,0.0
delta_magnetogram_q90,0.001586631963653414,0.001586631963653414,0.03437432227282585
t2_continuum_q90,-0.0011700696174461059,0.0011700696174461059,0.01594014313597918
t3_131_gradient,0.0010711174179750572,0.0010711174179750572,0.021904142268488396
t0_magnetogram_zernike_6_6,0.000953614568134934,0.000953614568134934,0.014855779657341141
delta_magnetogram_zernike_2_0,-0.0008808611245341114,0.0008808611245341114,0.03437432227282585
t0_magnetogram_zernike_2_2,0.00020906828397079325,0.00020906828397079325,0.014855779657341141
t0_magnetogram_flagged,0.0,0.0,0.0
t0_continuum_flagged,0.0,0.0,0.0
t1_magnetogram_flagged,0.0,0.0,0.0
t1_continuum_flagged,0.0,0.0,0.0
t2_magnetogram_flagged,0.0,0.0,0.0
t2_continuum_flagged,0.0,0.0,0.0
t3_magnetogram_flagged,0.0,0.0,0.0
t3_continuum_flagged,0.0,0.0,0.0
